# Data cheats for Cheat Menu #####
# Created by: ARM
# Date      : 29/07/2025
##################################
# Cheats name           # Cheats ID
WEAPON1                 0
WEAPON2                 1
WEAPON3                 2
WEAPON4                 3
TIMETRAVEL              4
SCRIPTBYPASS            5
SHOWMAPPINGS            6
INVINCIBILITY           7
SHOWTAPTOTARGET         8
SHOWTARGETING           9
MONEYARMOURHEALTH       10
WANTEDLEVELUP           11
WANTEDLEVELDOWN         12
SUNNYWEATHER            13
EXTRASUNNYWEATHER       14
CLOUDYWEATHER           15
RAINYWEATHER            16
FOGGYWEATHER            17
FASTWEATHER             18
FASTTIME                19
SLOWTIME                20
MAYHEM                  21
EVERYBODYATTACKSPLAYER  22
WEAPONSFORALL           23
TANK                    24
STOCKCAR                25
STOCKCAR2               26
STOCKCAR3               27
STOCKCAR4               28
HEARSE                  29
LOVEFIST                30
TRASHMASTER             31
GOLFCART                32
BLOWUPCARS              33
ONLYRENDERWHEELS        34
STRONGGRIP              35
SUICIDE                 36
TRAFFICLIGHTS           37
MADDRIVERS              38
PINKCARS                39
BLACKCARS               40
BACKTOTHEFUTURE         41
FLYINGFISH              42
FAT                     43
MUSCLE                  44
THE_GAMBLER             45
SKINNY                  46
ELVISLIVES              47
VILLAGEPEOPLE           48
BEACHPARTY              49
GANGS                   50
GANGLAND                51
NINJA                   52
LOVECONQUERSALL         53
ALLCARSARESHIT          54
ALLCARSAREGREAT         55
FLYINGCARS              56
CJPHONEHOME             57
FLYBOY                  58
VORTEX                  59
VEHICLEOFDEATH          60
NITRO                   61
SUPERPOWERCAR           62
MIDNIGHT                63
DUSK                    64
STORM                   65
SANDSTORM               66
PREDATOR                67
HIGHJUMP                68
BULLETPROOF             69
SCUBA                   70
PARACHUTE               71
JETPACK                 72
NOTWANTED               73
WANTED                  74
SUPERPUNCH              75
NOFOOD                  76
RIOT                    77
FUNHOUSE                78
ADRENALINE              79
AMMO                    80
DRIVEBY                 81
WASTELAND               82
COUNTRYSIDEINVASION     83
RECRUITME               84
RECRUITME_AK47          85
RECRUITME_ROCKET        86
RESPECT                 87
SEXAPPEAL               88
STAMINA                 89
WEAPONSKILLS            90
VEHICLESKILLS           91
APACHE                  92
QUAD                    93
TANKER                  94
DOZER                   95
STUNTPLANE              96
MONSTERTRUCK            97
PIMP                    98
TAXINITRO               99
