# Data Cutscenes for Cheat Menu #####
# Created by: ARM
# Data Items: Grinch_ Cheat Menu
# Date      : 30/07/2025
# Updated   : 24/11/2025
# GXT Table is the cutscene subtitles
#####################################
# Data name   # Interior ID   # GXT Table
smoke1a            0            SMOKE1
smoke1b            0            SMOKE1
smoke2a            0            SMOKE2
smoke2b            0            SMOKE2
smoke3a            0            SMOKE3
smoke4a            0            SMOKE4
cat_2              0            CAT
cat_3              0            CAT
cat_4              0            CAT
bcesa4w            0            BCESAR4
bcesa5w            0            BCESAR4
bcesar2            2            BCESAR2
bcesar4            0            BCESAR4
bcesar5            0            BCESAR4
cesar1a            0            CESAR1
date1a             10
date3a             4
date3b             4
date5a             6
date5b             6
date2a             9
date2b             9
date4a             5
date4b             5
date1b             5
date6a             5
date6b             1
bhill1             11           MAN_1
bhill2             5            MAN_2
bhill3a            5            MAN_3
bhill3b            0            MAN_3
bhill3c            0            MAN_3
bhill5a            5            MAN_5
bhill5b            3            MAN_5
cas6b_1            1            CASINO6
cas6b_2            1            CASINO6
cas_11a            2            CASINO10
cas_1a             11           CASINO1
cas_2              11            CASINO2
cas_3              11           CASINO3
cas_4a             0            CASINO4
cas_4b             0            CASINO4
cas_4c             2            CASINO4
cas_5a             2            CASINO5
cas_6a             2            CASINO6
cas_7b             11           CASINO7
cas_9a1            2            CASINO9
cas_9a2            2            CASINO9
desert1            0            TORENO1
desert2            0            TORENO2
desert3            0            DSERT3
desert4            0            DSERT4
desert6            0            DSERT6
desert8            0            DSERT8
desert9            0            DSERT9
des_10a            0            DSERT10
des_10b            0            DSERT10
doc_2              0            DOC2
epilog             3            RIOT4
farl_2a            3            FARLIE2
farl_3a            3            FARLIE3
farl_3b            0            FARLIE3
farl_4a            1            FARLIE4
farl_5a            1            FARLIE5
final1a            1            LAFIN1
final2a            1            LAFIN2
final2b            0            LAFIN2
garag1b            1            GARAGE1
garag1c            1            GARAGE1
garag3a            1            GARAGE2
grove1a            3            GROVE1
grove2             1            GROVE2
grove1b            3            GROVE1
grove1c            2            GROVE1
heist1a            10           HEIST1
heist2a            10           HEIST3
heist4a            10           HEIST2
heist5a            10           HEIST4
heist6a            10           HEIST5
heist8a            0            HEIST9
intro1a            3            INTRO1
intro1b            0            INTRO1
intro2a            2            INTRO2
prolog1            14           INTRO1
prolog3            0            INTRO1
riot4e1            0            RIOT4
riot4e2            0            RIOT4
riot_1a            5            RIOT1
riot_1b            5            RIOT1
riot_2             1            RIOT2
riot_4a            1            RIOT4
riot_4b            0            RIOT4
riot_4c            2            RIOT4
riot_4d            2            RIOT4
steal_1            1            STEAL1
steal_2            1            STEAL2
steal_4            1            STEAL4
steal_5            1            STEAL5
strp4b1            3            STRAP4
strp4b2            0            STRAP4
synd_2a            1            SYN2
synd_2b            3            SYN2
synd_3a            0            SYN3
synd_4a            1            SYN4
synd_4b            3            SYN4
synd_7             1            SYN7
strap1a            0            STRAP1
strap2a            10           STRAP2
strap3a            10           STRAP3
strap4a            0            STRAP4
ryder1a            0            RYDER1
ryder2a            0            RYDER2
ryder3a            2            RYDER3
sweet1a            0            SWEET1
sweet1b            1            SWEET1B
sweet1c            3            SWEET1B
sweet2a            0            SWEET3
sweet2b            0            SWEET3
sweet3a            1            SWEET2
sweet3b            0            SWEET2
sweet4a            0            SWEET4
sweet5a            1            SWEET5
sweet6a            1            SWEET6
sweet6b            0            SWEET6
sweet7a            0            SWEET7
bcras1             0            BCRASH1
bcras2             0            BCRASH1
crash1a            17           CRASH1
crash3a            0            CRASH3
crashv1            0            VCR1
scrash1            1            VALET1
scrash2            1            SCRASH2
truth_1            12           TRU1
truth_2            0            TRU2
d10_alt            0            DSERT10
d8_alt             0            DSERT8
woozi1a            1            WUZI1
woozi1b            1            WUZI1
woozie2            1            WUZI2
woozie4            1            WUZI4
w2_alt             1            WUZI2
zero_1             6            ZERO1
zero_2             6            ZERO2
zero_4             6            ZERO4
