# Data Weapons for Cheat Menu #####
# Created by: ARM
# Date      : 23/08/2025
# Updated   : 19/07/2026
###################################
# Name              # ID
Brass_knuckles      1
Golf_club           2 
Night_stick         3 
Knife               4 
Baseball_bat        5 
Shovel              6 
Poolcue             7 
Katana              8 
Chainsaw            9 
Purple_dildo        10
White_dildo         11
White_vibrator      12
Silver_vibrator     13
Flowers             14
Cane                15
Grenade             16
Teargas             17
Molotov             18
Colt45              22
Silenced            23
Desert_eagle        24
Shotgun             25
Sawn_off_shotgun    26
Combat_shotgun      27
Uzi                 28
Mp5                 29
Ak47                30
M4                  31
Tec9                32
Rifle               33
Sniper_rifle        34
Rocket_launcher     35
Heat_seeker         36
Flame_thrower       37
Minigun             38
Satchel_charge      39
Detonator           40
Spraycan            41
Fire_extinguisher   42
Camera              43
Night_vision        44
Thermal_vision      45
Parachute           46
