UPDATE_SETTINGS_PERMANENTLY 0
# GENERAL_SETTINGS
AIMWEAPON_RIFLE1_ZOOM 50.0
AIMWEAPON_RIFLE2_ZOOM 50.0
AIMWEAPON_DEFAULT_ZOOM 50.0
AIMWEAPON_DRIVE_CLOSE_ENOUGH 0.17453
AIMWEAPON_DRIVE_SENS_MULT 0.25
AIMWEAPON_FREETARGET_SENS 0.1
AIMWEAPON_STICK_SENS 0.007
# AIMWEAPON_SETTINGS
GUN_DATA     0.6 0.5 1.0 -0.12 0.02  0.7854  1.5533
BIKE_DATA    3.5 0.7 1.0 -0.16 0.2  0.61087 1.2217
VEHICLE_DATA 6.0 0.7 1.0 -0.16 0.4  0.61087 1.2217
MELEE_DATA   2.5 0.7 1.0 -0.12 0.15 0.7854  0.79412
# AIMWEAPON_OFFSET: X    Y   Z
WEAPON_DEFAULT      0.22 0.1 0.0
WEAPON_COLT45       0.22 0.1 0.0
WEAPON_SILENCED     0.22 0.1 0.0
WEAPON_DESERTEAGLE  0.22 0.1 0.0
WEAPON_CHROMEGUN    0.22 0.1 0.0
WEAPON_SAWNOFF      0.22 0.1 0.0
WEAPON_SHOTGSPA     0.22 0.1 0.0
WEAPON_MICROUZI     0.22 0.1 0.0
WEAPON_MP5          0.22 0.1 0.0
WEAPON_TEC9         0.22 0.1 0.0
WEAPON_AK47         0.22 0.1 0.0
WEAPON_M4           0.22 0.1 0.0
WEAPON_CUNTGUN      0.22 0.1 0.0
WEAPON_ROCKETLA     0.22 0.1 0.0
WEAPON_HEATSEEK     0.22 0.1 0.0
WEAPON_FLAME        0.22 0.1 0.0
WEAPON_MINIGUN      0.22 0.1 0.0
